,emocao,tempo,size
317,Desatento,652.0,4
318,Desatento,654.0,4
319,Desatento,656.0,4
320,Desatento,658.0,4
321,Desatento,660.0,3
322,Desatento,662.0,4
323,Desatento,664.0,4
324,Desatento,670.0,6
325,Desatento,674.0,5
326,Desatento,678.0,5
327,Desatento,680.0,4
328,Desatento,682.0,4
329,Desatento,684.0,5
330,Desatento,686.0,4
331,Desatento,688.0,6
332,Inquieto,0.0,7
333,Inquieto,2.0,7
334,Inquieto,4.0,6
335,Inquieto,6.0,7
336,Inquieto,8.0,6
337,Inquieto,10.0,5
338,Inquieto,12.0,6
339,Inquieto,14.0,7
340,Inquieto,16.0,7
341,Inquieto,18.0,7
342,Inquieto,20.0,7
343,Inquieto,22.0,6
344,Inquieto,24.0,7
345,Inquieto,28.0,8
346,Inquieto,30.0,9
347,Inquieto,32.0,6
348,Inquieto,34.0,7
349,Inquieto,36.0,6
350,Inquieto,38.0,8
351,Inquieto,40.0,8
352,Inquieto,42.0,8
353,Inquieto,44.0,8
354,Inquieto,46.0,7
355,Inquieto,48.0,8
356,Inquieto,50.0,7
357,Inquieto,52.0,8
358,Inquieto,54.0,8
359,Inquieto,56.0,7
360,Inquieto,58.0,6
361,Inquieto,60.0,6
362,Inquieto,62.0,7
363,Inquieto,64.0,6
364,Inquieto,66.0,7
365,Inquieto,68.0,6
366,Inquieto,70.0,6
367,Inquieto,72.0,8
368,Inquieto,74.0,7
369,Inquieto,76.0,7
370,Inquieto,78.0,7
371,Inquieto,80.0,7
372,Inquieto,82.0,7
373,Inquieto,84.0,6
374,Inquieto,86.0,6
375,Inquieto,88.0,6
376,Inquieto,90.0,6
377,Inquieto,92.0,6
378,Inquieto,94.0,6
379,Inquieto,96.0,6
380,Inquieto,98.0,6
381,Inquieto,100.0,6
382,Inquieto,102.0,6
383,Inquieto,104.0,7
384,Inquieto,106.0,8
385,Inquieto,108.0,7
386,Inquieto,110.0,7
387,Inquieto,112.0,6
388,Inquieto,114.0,6
389,Inquieto,116.0,6
390,Inquieto,118.0,6
391,Inquieto,120.0,7
392,Inquieto,122.0,6
393,Inquieto,124.0,7
394,Inquieto,126.0,7
395,Inquieto,128.0,7
396,Inquieto,130.0,6
397,Inquieto,132.0,7
398,Inquieto,134.0,6
399,Inquieto,136.0,6
400,Inquieto,138.0,6
401,Inquieto,140.0,8
402,Inquieto,142.0,8
403,Inquieto,144.0,6
404,Inquieto,146.0,6
405,Inquieto,148.0,7
406,Inquieto,150.0,7
407,Inquieto,152.0,6
408,Inquieto,154.0,7
409,Inquieto,158.0,8
410,Inquieto,160.0,8
411,Inquieto,162.0,7
412,Inquieto,164.0,7
413,Inquieto,166.0,7
414,Inquieto,168.0,8
415,Inquieto,170.0,8
416,Inquieto,172.0,8
417,Inquieto,174.0,6
418,Inquieto,176.0,6
419,Inquieto,178.0,6
420,Inquieto,180.0,7
421,Inquieto,182.0,6
422,Inquieto,186.0,5
423,Inquieto,188.0,6
424,Inquieto,190.0,7
425,Inquieto,192.0,7
426,Inquieto,194.0,5
427,Inquieto,196.0,7
428,Inquieto,198.0,7
429,Inquieto,200.0,7
430,Inquieto,202.0,7
431,Inquieto,204.0,7
432,Inquieto,206.0,7
433,Inquieto,208.0,7
434,Inquieto,210.0,7
435,Inquieto,212.0,7
436,Inquieto,214.0,7
437,Inquieto,216.0,7
438,Inquieto,218.0,7
439,Inquieto,220.0,7
440,Inquieto,222.0,6
441,Inquieto,224.0,7
442,Inquieto,226.0,7
443,Inquieto,228.0,7
444,Inquieto,230.0,7
445,Inquieto,232.0,7
446,Inquieto,234.0,7
447,Inquieto,236.0,7
448,Inquieto,238.0,6
449,Inquieto,240.0,6
450,Inquieto,242.0,7
451,Inquieto,244.0,8
452,Inquieto,246.0,7
453,Inquieto,248.0,6
454,Inquieto,250.0,6
455,Inquieto,252.0,6
456,Inquieto,254.0,7
457,Inquieto,256.0,7
458,Inquieto,258.0,7
459,Inquieto,260.0,7
460,Inquieto,262.0,7
461,Inquieto,264.0,7
462,Inquieto,268.0,8
463,Inquieto,270.0,7
464,Inquieto,272.0,8
465,Inquieto,274.0,8
466,Inquieto,276.0,8
467,Inquieto,280.0,8
468,Inquieto,282.0,8
469,Inquieto,284.0,7
470,Inquieto,286.0,7
471,Inquieto,288.0,6
472,Inquieto,290.0,7
473,Inquieto,292.0,6
474,Inquieto,294.0,7
475,Inquieto,296.0,6
476,Inquieto,298.0,7
477,Inquieto,300.0,7
478,Inquieto,302.0,5
479,Inquieto,304.0,6
480,Inquieto,306.0,5
481,Inquieto,308.0,5
482,Inquieto,310.0,6
483,Inquieto,312.0,7
484,Inquieto,314.0,7
485,Inquieto,316.0,5
486,Inquieto,318.0,6
487,Inquieto,320.0,4
488,Inquieto,322.0,7
489,Inquieto,324.0,6
490,Inquieto,326.0,4
491,Inquieto,328.0,5
492,Inquieto,330.0,5
493,Inquieto,332.0,5
494,Inquieto,334.0,6
495,Inquieto,336.0,6
496,Inquieto,338.0,5
497,Inquieto,340.0,6
498,Inquieto,342.0,4
499,Inquieto,344.0,6
500,Inquieto,346.0,6
501,Inquieto,348.0,5
502,Inquieto,350.0,5
503,Inquieto,352.0,4
504,Inquieto,354.0,5
505,Inquieto,356.0,8
506,Inquieto,358.0,7
507,Inquieto,360.0,7
508,Inquieto,362.0,8
509,Inquieto,364.0,6
510,Inquieto,366.0,7
511,Inquieto,368.0,7
512,Inquieto,370.0,5
513,Inquieto,372.0,7
514,Inquieto,374.0,6
515,Inquieto,376.0,8
516,Inquieto,378.0,7
517,Inquieto,380.0,5
518,Inquieto,382.0,7
519,Inquieto,384.0,7
520,Inquieto,386.0,6
521,Inquieto,388.0,7
522,Inquieto,390.0,6
523,Inquieto,392.0,7
524,Inquieto,394.0,8
525,Inquieto,396.0,6
526,Inquieto,398.0,7
527,Inquieto,400.0,6
528,Inquieto,402.0,7
529,Inquieto,404.0,7
530,Inquieto,406.0,5
531,Inquieto,408.0,7
532,Inquieto,410.0,6
533,Inquieto,412.0,6
534,Inquieto,414.0,5
535,Inquieto,416.0,4
536,Inquieto,418.0,6
537,Inquieto,420.0,6
538,Inquieto,422.0,6
539,Inquieto,424.0,6
540,Inquieto,426.0,3
541,Inquieto,428.0,4
542,Inquieto,430.0,4
543,Inquieto,432.0,4
544,Inquieto,434.0,4
545,Inquieto,436.0,5
546,Inquieto,438.0,5
547,Inquieto,440.0,4
548,Inquieto,442.0,4
549,Inquieto,444.0,6
550,Inquieto,446.0,6
551,Inquieto,448.0,4
552,Inquieto,450.0,7
553,Inquieto,452.0,7
554,Inquieto,454.0,8
555,Inquieto,456.0,7
556,Inquieto,458.0,7
557,Inquieto,460.0,6
558,Inquieto,462.0,6
559,Inquieto,464.0,5
560,Inquieto,466.0,6
561,Inquieto,468.0,6
562,Inquieto,470.0,6
563,Inquieto,472.0,5
564,Inquieto,474.0,6
565,Inquieto,476.0,6
566,Inquieto,478.0,6
567,Inquieto,480.0,6
568,Inquieto,482.0,6
569,Inquieto,484.0,6
570,Inquieto,486.0,7
571,Inquieto,488.0,6
572,Inquieto,490.0,5
573,Inquieto,492.0,6
574,Inquieto,494.0,6
575,Inquieto,496.0,4
576,Inquieto,498.0,6
577,Inquieto,500.0,6
578,Inquieto,502.0,6
579,Inquieto,504.0,6
580,Inquieto,506.0,6
581,Inquieto,508.0,5
582,Inquieto,510.0,5
583,Inquieto,512.0,6
584,Inquieto,514.0,7
585,Inquieto,516.0,5
586,Inquieto,518.0,6
587,Inquieto,520.0,6
588,Inquieto,522.0,4
589,Inquieto,524.0,4
590,Inquieto,526.0,4
591,Inquieto,528.0,4
592,Inquieto,530.0,5
593,Inquieto,532.0,3
594,Inquieto,534.0,4
595,Inquieto,536.0,3
596,Inquieto,538.0,3
597,Inquieto,540.0,3
598,Inquieto,542.0,3
599,Inquieto,544.0,5
600,Inquieto,548.0,4
601,Inquieto,550.0,5
602,Inquieto,558.0,5
603,Inquieto,560.0,5
604,Inquieto,562.0,5
605,Inquieto,564.0,6
606,Inquieto,566.0,5
607,Inquieto,568.0,5
608,Inquieto,570.0,4
609,Inquieto,572.0,6
610,Inquieto,574.0,5
611,Inquieto,576.0,4
612,Inquieto,578.0,3
613,Inquieto,580.0,4
614,Inquieto,582.0,4
615,Inquieto,584.0,4
616,Inquieto,586.0,4
617,Inquieto,588.0,6
618,Inquieto,590.0,5
619,Inquieto,592.0,7
620,Inquieto,594.0,6
621,Inquieto,596.0,6
622,Inquieto,598.0,4
623,Inquieto,600.0,4
624,Inquieto,602.0,4
625,Inquieto,604.0,4
626,Inquieto,606.0,5
627,Inquieto,608.0,4
628,Inquieto,610.0,5
629,Inquieto,612.0,5
630,Inquieto,614.0,7
631,Inquieto,616.0,6
632,Inquieto,618.0,5
633,Inquieto,620.0,5
634,Inquieto,622.0,5
635,Inquieto,624.0,6
636,Inquieto,626.0,6
637,Inquieto,628.0,5
638,Inquieto,630.0,5
639,Inquieto,632.0,5
640,Inquieto,634.0,7
641,Inquieto,636.0,4
642,Inquieto,638.0,5
643,Inquieto,640.0,8
644,Inquieto,642.0,5
645,Inquieto,644.0,7
646,Inquieto,646.0,6
647,Inquieto,648.0,6
648,Inquieto,650.0,6
649,Inquieto,652.0,6
650,Inquieto,654.0,6
651,Inquieto,656.0,6
652,Inquieto,658.0,6
653,Inquieto,660.0,4
654,Inquieto,662.0,5
655,Inquieto,664.0,6
656,Inquieto,670.0,5
657,Inquieto,674.0,7
658,Inquieto,678.0,6
659,Inquieto,680.0,6
660,Inquieto,682.0,6
661,Inquieto,684.0,7
662,Inquieto,686.0,6
663,Inquieto,688.0,6
664,Confuso,0.0,4
665,Confuso,2.0,4
666,Confuso,4.0,4
667,Confuso,6.0,4
668,Confuso,8.0,4
669,Confuso,10.0,4
670,Confuso,12.0,5
671,Confuso,14.0,6
672,Confuso,16.0,6
673,Confuso,18.0,6
674,Confuso,20.0,6
675,Confuso,22.0,5
676,Confuso,24.0,5
677,Confuso,28.0,7
678,Confuso,30.0,8
679,Confuso,32.0,4
680,Confuso,34.0,6
681,Confuso,36.0,5
682,Confuso,38.0,7
683,Confuso,40.0,6
684,Confuso,42.0,6
685,Confuso,44.0,6
686,Confuso,46.0,6
687,Confuso,48.0,6
688,Confuso,50.0,6
689,Confuso,52.0,6
690,Confuso,54.0,5
691,Confuso,56.0,6
692,Confuso,58.0,5
693,Confuso,60.0,5
694,Confuso,62.0,6
695,Confuso,64.0,5
696,Confuso,66.0,5
697,Confuso,68.0,5
698,Confuso,70.0,5
699,Confuso,72.0,6
700,Confuso,74.0,6
701,Confuso,76.0,6
702,Confuso,78.0,6
703,Confuso,80.0,5
704,Confuso,82.0,6
705,Confuso,84.0,5
706,Confuso,86.0,5
707,Confuso,88.0,5
708,Confuso,90.0,5
709,Confuso,92.0,5
710,Confuso,94.0,5
711,Confuso,96.0,5
712,Confuso,98.0,5
713,Confuso,100.0,5
714,Confuso,102.0,5
715,Confuso,104.0,5
716,Confuso,106.0,6
717,Confuso,108.0,6
718,Confuso,110.0,6
719,Confuso,112.0,5
720,Confuso,114.0,5
721,Confuso,116.0,5
722,Confuso,118.0,5
723,Confuso,120.0,6
724,Confuso,122.0,6
725,Confuso,124.0,6
726,Confuso,126.0,5
727,Confuso,128.0,5
728,Confuso,130.0,5
729,Confuso,132.0,5
730,Confuso,134.0,5
731,Confuso,136.0,5
732,Confuso,138.0,5
733,Confuso,140.0,5
734,Confuso,142.0,5
735,Confuso,144.0,4
736,Confuso,146.0,4
737,Confuso,148.0,5
738,Confuso,150.0,5
739,Confuso,152.0,5
740,Confuso,154.0,5
741,Confuso,158.0,5
742,Confuso,160.0,5
743,Confuso,162.0,5
744,Confuso,164.0,6
745,Confuso,166.0,6
746,Confuso,168.0,7
747,Confuso,170.0,7
748,Confuso,172.0,7
749,Confuso,174.0,5
750,Confuso,176.0,6
751,Confuso,178.0,5
752,Confuso,180.0,5
753,Confuso,182.0,5
754,Confuso,186.0,4
755,Confuso,188.0,5
756,Confuso,190.0,5
757,Confuso,192.0,6
758,Confuso,194.0,5
759,Confuso,196.0,5
760,Confuso,198.0,6
761,Confuso,200.0,6
762,Confuso,202.0,6
763,Confuso,204.0,6
764,Confuso,206.0,6
765,Confuso,208.0,6
766,Confuso,210.0,6
767,Confuso,212.0,6
768,Confuso,214.0,6
769,Confuso,216.0,6
770,Confuso,218.0,6
771,Confuso,220.0,6
772,Confuso,222.0,6
773,Confuso,224.0,6
774,Confuso,226.0,6
775,Confuso,228.0,6
776,Confuso,230.0,6
777,Confuso,232.0,6
778,Confuso,234.0,6
779,Confuso,236.0,6
780,Confuso,238.0,5
781,Confuso,240.0,5
782,Confuso,242.0,5
783,Confuso,244.0,5
784,Confuso,246.0,6
785,Confuso,248.0,5
786,Confuso,250.0,5
787,Confuso,252.0,5
788,Confuso,254.0,6
789,Confuso,256.0,6
790,Confuso,258.0,6
791,Confuso,260.0,6
792,Confuso,262.0,6
793,Confuso,264.0,6
794,Confuso,268.0,7
795,Confuso,270.0,6
796,Confuso,272.0,6
797,Confuso,274.0,7
798,Confuso,276.0,7
799,Confuso,280.0,6
800,Confuso,282.0,6
801,Confuso,284.0,5
802,Confuso,286.0,5
803,Confuso,288.0,5
804,Confuso,290.0,5
805,Confuso,292.0,5
806,Confuso,294.0,5
807,Confuso,296.0,5
808,Confuso,298.0,6
809,Confuso,300.0,5
810,Confuso,302.0,4
811,Confuso,304.0,4
812,Confuso,306.0,4
813,Confuso,308.0,5
814,Confuso,310.0,6
815,Confuso,312.0,6
816,Confuso,314.0,6
817,Confuso,316.0,4
818,Confuso,318.0,4
819,Confuso,320.0,4
820,Confuso,322.0,5
821,Confuso,324.0,5
822,Confuso,326.0,3
823,Confuso,328.0,4
824,Confuso,330.0,4
825,Confuso,332.0,3
826,Confuso,334.0,4
827,Confuso,336.0,4
828,Confuso,338.0,4
829,Confuso,340.0,4
830,Confuso,342.0,3
831,Confuso,344.0,4
832,Confuso,346.0,4
833,Confuso,348.0,4
834,Confuso,350.0,3
835,Confuso,352.0,2
836,Confuso,354.0,3
837,Confuso,356.0,6
838,Confuso,358.0,5
839,Confuso,360.0,5
840,Confuso,362.0,5
841,Confuso,364.0,4
842,Confuso,366.0,4
843,Confuso,368.0,5
844,Confuso,370.0,4
845,Confuso,372.0,5
846,Confuso,374.0,5
847,Confuso,376.0,5
848,Confuso,378.0,5
849,Confuso,380.0,4
850,Confuso,382.0,5
851,Confuso,384.0,5
852,Confuso,386.0,4
853,Confuso,388.0,6
854,Confuso,390.0,5
855,Confuso,392.0,6
856,Confuso,394.0,6
857,Confuso,396.0,5
858,Confuso,398.0,4
859,Confuso,400.0,4
860,Confuso,402.0,6
861,Confuso,404.0,6
862,Confuso,406.0,4
863,Confuso,408.0,6
864,Confuso,410.0,5
865,Confuso,412.0,5
866,Confuso,414.0,3
867,Confuso,416.0,3
868,Confuso,418.0,5
869,Confuso,420.0,4
870,Confuso,422.0,4
871,Confuso,424.0,4
872,Confuso,426.0,2
873,Confuso,428.0,3
874,Confuso,430.0,2
875,Confuso,432.0,3
876,Confuso,434.0,3
877,Confuso,436.0,3
878,Confuso,438.0,3
879,Confuso,440.0,2
880,Confuso,442.0,2
881,Confuso,444.0,5
882,Confuso,446.0,4
883,Confuso,448.0,3
884,Confuso,450.0,5
885,Confuso,452.0,6
886,Confuso,454.0,6
887,Confuso,456.0,5
888,Confuso,458.0,5
889,Confuso,460.0,5
890,Confuso,462.0,4
891,Confuso,464.0,4
892,Confuso,466.0,5
893,Confuso,468.0,4
894,Confuso,470.0,5
895,Confuso,472.0,5
896,Confuso,474.0,4
897,Confuso,476.0,5
898,Confuso,478.0,4
899,Confuso,480.0,5
900,Confuso,482.0,5
901,Confuso,484.0,5
902,Confuso,486.0,4
903,Confuso,488.0,5
904,Confuso,490.0,5
905,Confuso,492.0,5
906,Confuso,494.0,5
907,Confuso,496.0,4
908,Confuso,498.0,5
909,Confuso,500.0,5
910,Confuso,502.0,5
911,Confuso,504.0,5
912,Confuso,506.0,5
913,Confuso,508.0,5
914,Confuso,510.0,5
915,Confuso,512.0,5
916,Confuso,514.0,5
917,Confuso,516.0,5
918,Confuso,518.0,5
919,Confuso,520.0,5
920,Confuso,522.0,3
921,Confuso,524.0,3
922,Confuso,526.0,3
923,Confuso,528.0,3
924,Confuso,530.0,4
925,Confuso,532.0,3
926,Confuso,534.0,3
927,Confuso,536.0,3
928,Confuso,538.0,3
929,Confuso,540.0,3
930,Confuso,542.0,3
931,Confuso,544.0,3
932,Confuso,548.0,3
933,Confuso,550.0,4
934,Confuso,558.0,4
935,Confuso,560.0,4
936,Confuso,562.0,4
937,Confuso,564.0,5
938,Confuso,566.0,4
939,Confuso,568.0,4
940,Confuso,570.0,4
941,Confuso,572.0,5
942,Confuso,574.0,4
943,Confuso,576.0,4
944,Confuso,578.0,3
945,Confuso,580.0,3
946,Confuso,582.0,2
947,Confuso,584.0,3
948,Confuso,586.0,3
949,Confuso,588.0,3
950,Confuso,590.0,3
951,Confuso,592.0,3
952,Confuso,594.0,3
953,Confuso,596.0,4
954,Confuso,598.0,3
955,Confuso,600.0,3
956,Confuso,602.0,3
957,Confuso,604.0,3
958,Confuso,606.0,3
959,Confuso,608.0,2
960,Confuso,610.0,3
961,Confuso,612.0,3
